	company.value	companyLabel.xml:lang	companyLabel.value	name.xml:lang	name.value	starttime.value	endtime.value
49	http://www.wikidata.org/entity/Q380	en	Meta Platforms	en	Facebook, Inc.	2005-01-01T00:00:00Z	2021-10-28T00:00:00Z
50	http://www.wikidata.org/entity/Q380	en	Meta Platforms	en	TheFacebook, Inc.	2004-07-29T00:00:00Z	2005-01-01T00:00:00Z
51	http://www.wikidata.org/entity/Q380	en	Meta Platforms	en	Meta Platforms, Inc.	2021-10-28T00:00:00Z	
52	http://www.wikidata.org/entity/Q39586	en	Talvivaara Mining Company	en	Talvivaara Mining Company Plc	2008-04-25T00:00:00Z	2017-11-28T00:00:00Z
53	http://www.wikidata.org/entity/Q39586	en	Talvivaara Mining Company	en	Ahtium Plc	2017-11-28T00:00:00Z	
54	http://www.wikidata.org/entity/Q39586	en	Talvivaara Mining Company	fi	Talvivaaran Kaivososakeyhtiö	2003-09-09T00:00:00Z	2008-04-24T00:00:00Z
55	http://www.wikidata.org/entity/Q39586	en	Talvivaara Mining Company	fi	Ahtium Oyj	2017-11-28T00:00:00Z	
56	http://www.wikidata.org/entity/Q39586	en	Talvivaara Mining Company	fi	Talvivaaran Kaivososakeyhtiö Oyj	2008-04-25T00:00:00Z	2017-11-28T00:00:00Z
57	http://www.wikidata.org/entity/Q81510	en	Continental Barum	cs	Continental Barum s.r.o.	2013-01-01T00:00:00Z	
58	http://www.wikidata.org/entity/Q144617	en	TIM Group	it	TIM S.p.A.	2016-01-01T00:00:00Z	
59	http://www.wikidata.org/entity/Q144617	en	TIM Group	it	Telecom Italia S.p.A.	1994-01-01T00:00:00Z	2016-01-01T00:00:00Z
60	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FC Zlín, a. s.	2023-07-10T00:00:00Z	
61	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Vodafone AirTouch Plc	1999-01-01T00:00:00Z	2000-01-01T00:00:00Z
62	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Vodafone Group Plc	1991-01-01T00:00:00Z	1999-01-01T00:00:00Z
63	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Racal Telecom Plc	1988-01-01T00:00:00Z	1991-01-01T00:00:00Z
64	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Racal Telecom Ltd	1985-01-01T00:00:00Z	1988-01-01T00:00:00Z
65	http://www.wikidata.org/entity/Q29637	en	Škoda Auto	cs	Škoda Auto a.s.	2023-01-01T00:00:00Z	
66	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Racal Strategic Radio Ltd	1984-01-01T00:00:00Z	1985-01-01T00:00:00Z
67	http://www.wikidata.org/entity/Q154950	en	Shell	en	Shell plc	2022-01-01T00:00:00Z	
68	http://www.wikidata.org/entity/Q154950	en	Shell	en	Royal Dutch Shell plc	2005-01-01T00:00:00Z	2022-01-01T00:00:00Z
69	http://www.wikidata.org/entity/Q154950	en	Shell	nl	Royal Dutch Shell	2005-01-01T00:00:00Z	2022-01-01T00:00:00Z
70	http://www.wikidata.org/entity/Q170416	en	Koninklijke Philips NV	nl	Koninklijke Philips NV	2013-01-01T00:00:00Z	
71	http://www.wikidata.org/entity/Q210278	en	Gibson Brands	en	Gibson Mandolin-Guitar Manufacturing Company, Ltd.	1902-01-01T00:00:00Z	1904-01-01T00:00:00Z
72	http://www.wikidata.org/entity/Q210278	en	Gibson Brands	en	Gibson Mandolin-Guitar Company	1904-01-01T00:00:00Z	
73	http://www.wikidata.org/entity/Q210278	en	Gibson Brands	en	Gibson Brands	2013-06-11T00:00:00Z	
74	http://www.wikidata.org/entity/Q219635	en	BlackRock	en	BlackRock	1992-01-01T00:00:00Z	
75	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	TotalFinaElf SA	2000-01-01T00:00:00Z	2003-01-01T00:00:00Z
76	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	Total SE	2020-01-01T00:00:00Z	2021-01-01T00:00:00Z
77	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	Total SA	2003-01-01T00:00:00Z	2020-01-01T00:00:00Z
78	http://www.wikidata.org/entity/Q158276	en	AEG	de	AEG Aktiengesellschaft	1985-01-01T00:00:00Z	1996-01-01T00:00:00Z
79	http://www.wikidata.org/entity/Q158276	en	AEG	de	Allgemeine Elektricitäts-Gesellschaft AEG-Telefunken	1967-01-01T00:00:00Z	1985-01-01T00:00:00Z
80	http://www.wikidata.org/entity/Q158276	en	AEG	de	Deutsche Edison-Gesellschaft für angewandte Elektricität	1883-01-01T00:00:00Z	1888-01-01T00:00:00Z
81	http://www.wikidata.org/entity/Q158276	en	AEG	de	Allgemeine Elektricitäts-Gesellschaft	1888-01-01T00:00:00Z	1967-01-01T00:00:00Z
82	http://www.wikidata.org/entity/Q172721	en	Mercedes F1 Team	en	Mercedes-AMG Petronas F1 Team	2020-01-01T00:00:00Z	
83	http://www.wikidata.org/entity/Q172721	en	Mercedes F1 Team	en	Mercedes AMG Petronas Motorsport	2017-01-01T00:00:00Z	2019-01-01T00:00:00Z
84	http://www.wikidata.org/entity/Q172721	en	Mercedes F1 Team	en	Mercedes-AMG Petronas F1 Team	2012-01-01T00:00:00Z	2016-01-01T00:00:00Z
85	http://www.wikidata.org/entity/Q172721	en	Mercedes F1 Team	en	Mercedes GP Petronas F1 Team	2010-01-01T00:00:00Z	2011-01-01T00:00:00Z
86	http://www.wikidata.org/entity/Q172721	en	Mercedes F1 Team	en	Daimler-Benz AG	1954-01-01T00:00:00Z	1955-01-01T00:00:00Z
87	http://www.wikidata.org/entity/Q213849	en	ATI Technologies	en	ATI Technologies Inc.	1985-12-01T00:00:00Z	
88	http://www.wikidata.org/entity/Q213849	en	ATI Technologies	en	Array Technologies Inc.	1985-09-01T00:00:00Z	1985-12-01T00:00:00Z
89	http://www.wikidata.org/entity/Q213849	en	ATI Technologies	en	Array Technology Inc.	1985-08-01T00:00:00Z	1985-09-01T00:00:00Z
90	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	TotalFina SA	1999-01-01T00:00:00Z	2000-01-01T00:00:00Z
91	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	Total SA	1991-01-01T00:00:00Z	1999-01-01T00:00:00Z
92	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	Total − Compagnie Française des Pétroles	1985-01-01T00:00:00Z	1991-01-01T00:00:00Z
93	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	Compagnie Française des Pétroles	1924-01-01T00:00:00Z	1985-01-01T00:00:00Z
94	http://www.wikidata.org/entity/Q154037	en	TotalEnergies	fr	TotalEnergies SE	2021-01-01T00:00:00Z	
95	http://www.wikidata.org/entity/Q641021	en	COSCO SHIPPING Energy Transportation Co., Ltd.	zh-cn	中远海运能源运输股份有限公司	2015-01-01T00:00:00Z	
96	http://www.wikidata.org/entity/Q629981	en	Nielsen Audio	en	American Research Bureau	1949-01-01T00:00:00Z	1960-01-01T00:00:00Z
97	http://www.wikidata.org/entity/Q629981	en	Nielsen Audio	en	Nielsen Audio	2013-09-30T00:00:00Z	
98	http://www.wikidata.org/entity/Q629981	en	Nielsen Audio	en	Arbitron	1960-01-01T00:00:00Z	2013-09-30T00:00:00Z
99	http://www.wikidata.org/entity/Q662174	en	Securitas	sv	Förenade Svenska Vakt AB	1935-01-01T00:00:00Z	1972-01-01T00:00:00Z
100	http://www.wikidata.org/entity/Q662174	en	Securitas	sv	AB Hälsingborgs Nattvakt	1934-01-01T00:00:00Z	1935-01-01T00:00:00Z
101	http://www.wikidata.org/entity/Q633316	en	Blackburn Aircraft	en	Blackburn and General Aircraft Limited	1949-01-01T00:00:00Z	1958-01-01T00:00:00Z
102	http://www.wikidata.org/entity/Q633316	en	Blackburn Aircraft	en	Blackburn Aeroplane & Motor Company	1914-01-01T00:00:00Z	1949-01-01T00:00:00Z
103	http://www.wikidata.org/entity/Q633316	en	Blackburn Aircraft	en	Blackburn Aircraft Limited	1958-01-01T00:00:00Z	
104	http://www.wikidata.org/entity/Q667547	en	Steyr Tractor	de	CNH Industrial Österreich GmbH	http://www.wikidata.org/.well-known/genid/80789c53900a133c510341854a3b7df0	
105	http://www.wikidata.org/entity/Q667547	en	Steyr Tractor	de	Steyr Landmaschinentechnik GmbH	1990-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/5adb94f4bd26c4274655e7d91465dba4
106	http://www.wikidata.org/entity/Q667547	en	Steyr Tractor	de	CNH Österreich GmbH	2002-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/0d388c2e254127f23a356d796a97afaf
107	http://www.wikidata.org/entity/Q667547	en	Steyr Tractor	de	Steyr Landmaschinentechnik AG	http://www.wikidata.org/.well-known/genid/8abf8d80a531764fe7689e99aae18f7a	1996-01-01T00:00:00Z
108	http://www.wikidata.org/entity/Q667547	en	Steyr Tractor	de	CASE-STEYR Landmaschinentechnik	1996-01-01T00:00:00Z	
109	http://www.wikidata.org/entity/Q683266	en	Elektrizitätsgesellschaft Alioth	de	Holding Brown Boveri & Cie AG	1929-01-31T00:00:00Z	
110	http://www.wikidata.org/entity/Q623042	en	Bank Rakyat Indonesia	id	PT Bank Rakyat Indonesia (Persero)	1992-01-01T00:00:00Z	
111	http://www.wikidata.org/entity/Q623042	en	Bank Rakyat Indonesia	id	PT Bank Rakyat Indonesia	1968-12-18T00:00:00Z	1992-01-01T00:00:00Z
112	http://www.wikidata.org/entity/Q623042	en	Bank Rakyat Indonesia	nl	De Poerwokertosche Hulp en Spaarbank der Inlandsche Hoofden	1895-12-16T00:00:00Z	http://www.wikidata.org/.well-known/genid/1d5e802c19f84c824802e630aa57a039
113	http://www.wikidata.org/entity/Q625713	en	BHP Group	en	BHP Group	2018-11-19T00:00:00Z	
114	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	mul	HeidelbergCement	2002-01-01T00:00:00Z	2023-01-01T00:00:00Z
115	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	de	Portland-Zementwerke Heidelberg Aktiengesellschaft	http://www.wikidata.org/.well-known/genid/e7b7bce6176b4327f841ac08da5b37c3	http://www.wikidata.org/.well-known/genid/c0015656bc5f5029d8bb7d5230402d34
116	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	de	Heidelberger Zement Aktiengesellschaft	1978-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/96ba530d689929f64ab120f4e95831a3
117	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	mul	Heidelberg Materials	2023-09-01T00:00:00Z	
118	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	de	Portland-Cement-Fabrik Heidelberg und Mannheim AG	1901-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/2e2137aed8e4cb5eff40e200ced69624
119	http://www.wikidata.org/entity/Q632233	en	Heidelberg Materials	de	Portland-Cement-Werk Heidelberg, Schifferdecker & Söhne	1874-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/2bfe8c0c5ef3eb3a923a878ab54f6563
120	http://www.wikidata.org/entity/Q646807	en	Gruppo API	it	Anonima Petroli Italiana S.p.A.	1933-01-01T00:00:00Z	2019-01-01T00:00:00Z
121	http://www.wikidata.org/entity/Q652282	en	Sky Deutschland	de	Sky Deutschland AG	2009-01-01T00:00:00Z	2015-09-26T00:00:00Z
122	http://www.wikidata.org/entity/Q652282	en	Sky Deutschland	de	Sky Deutschland GmbH	2015-09-27T00:00:00Z	
123	http://www.wikidata.org/entity/Q677085	en	Gen Digital	en	Gen Digital Inc.	2023-01-01T00:00:00Z	
124	http://www.wikidata.org/entity/Q665648	en	Wenger	de	Paul Boéchat & Cie.	1893-01-01T00:00:00Z	1895-01-01T00:00:00Z
125	http://www.wikidata.org/entity/Q665648	en	Wenger	fr	Fabrique suisse de coutellerie S.A.	1895-01-01T00:00:00Z	1900-01-01T00:00:00Z
126	http://www.wikidata.org/entity/Q665648	en	Wenger	de	Schweizer Besteckfabrik	1900-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/9ba4d9fd8d07596054424a56666fe062
127	http://www.wikidata.org/entity/Q665648	en	Wenger	mul	Wenger & Co.	1907-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/b13ff0d40d41bb79ae1df54956506444
128	http://www.wikidata.org/entity/Q665648	en	Wenger	mul	Wenger S.A.	1922-01-01T00:00:00Z	
129	http://www.wikidata.org/entity/Q631507	en	Arcadis	nl	ARCADIS N.V.	1997-01-01T00:00:00Z	
130	http://www.wikidata.org/entity/Q680539	en	Broadcasting House Flagey	fr	Maison de la Radio Flagey	1998-06-30T00:00:00Z	
131	http://www.wikidata.org/entity/Q680539	en	Broadcasting House Flagey	nl-be	Omroepgebouw Flagey	1998-06-30T00:00:00Z	
132	http://www.wikidata.org/entity/Q646807	en	Gruppo API	it	Italiana Petroli S.p.A.	2019-01-01T00:00:00Z	
133	http://www.wikidata.org/entity/Q492820	en	Salling Group	da	Salling Group A/S	2018-06-01T00:00:00Z	
134	http://www.wikidata.org/entity/Q492820	en	Salling Group	da	Dansk Supermarked A/S	1964-01-01T00:00:00Z	2018-06-01T00:00:00Z
135	http://www.wikidata.org/entity/Q501476	en	Hasbro	en	Hassenfeld Brothers	1923-01-01T00:00:00Z	1968-01-01T00:00:00Z
136	http://www.wikidata.org/entity/Q501476	en	Hasbro	en	Hasbro Industries	1968-01-01T00:00:00Z	1984-01-01T00:00:00Z
137	http://www.wikidata.org/entity/Q501476	en	Hasbro	en	Hasbro Bradley	1984-01-01T00:00:00Z	1985-01-01T00:00:00Z
138	http://www.wikidata.org/entity/Q545163	en	Anhaltisches Elektromotorenwerk Dessau	de	Berlin-Anhaltische Maschinenbau AG	1872-01-01T00:00:00Z	
139	http://www.wikidata.org/entity/Q478214	en	Tesla, Inc.	en	Tesla Motors, Inc.	2003-07-01T00:00:00Z	2017-01-31T00:00:00Z
140	http://www.wikidata.org/entity/Q478214	en	Tesla, Inc.	en	Tesla, Inc.	2017-02-01T00:00:00Z	
141	http://www.wikidata.org/entity/Q470696	en	Hrvatski Telekom	hr	Hrvatski Telekom d. d.	2010-05-21T00:00:00Z	
142	http://www.wikidata.org/entity/Q540733	en	Slovak Telekom	sk	Slovak Telecom, a.s.	2004-01-15T00:00:00Z	2006-03-08T00:00:00Z
143	http://www.wikidata.org/entity/Q540733	en	Slovak Telekom	sk	Slovenské telekomunikácie, a.s.	1999-04-01T00:00:00Z	2004-01-15T00:00:00Z
144	http://www.wikidata.org/entity/Q540733	en	Slovak Telekom	sk	Slovak Telekom, a.s.	2006-03-08T00:00:00Z	
145	http://www.wikidata.org/entity/Q488682	en	MBC Plus	ko	주식회사 엠비씨플러스	2015-08-01T00:00:00Z	
146	http://www.wikidata.org/entity/Q488682	en	MBC Plus	en	MBC Plus Co., Ltd.	2015-08-01T00:00:00Z	
147	http://www.wikidata.org/entity/Q497067	en	Danziger Privat-Actien-Bank	de	Ostdeutsche Privatbank AG	1940-01-01T00:00:00Z	
148	http://www.wikidata.org/entity/Q497067	en	Danziger Privat-Actien-Bank	de	Danziger Privat-Actien-Bank	1856-11-21T00:00:00Z	
149	http://www.wikidata.org/entity/Q497067	en	Danziger Privat-Actien-Bank	de	AG für Danziger Realwerte	1942-01-01T00:00:00Z	
150	http://www.wikidata.org/entity/Q499342	en	FASTWEB	it	FASTWEB S.p.A.	2004-01-01T00:00:00Z	
151	http://www.wikidata.org/entity/Q511031	en	Norsk Hydro	nb	Norsk Hydro-Elektrisk Kvælstofaktieselskab	1905-12-02T00:00:00Z	http://www.wikidata.org/.well-known/genid/a680207a8034336a680a2c38a2722d25
152	http://www.wikidata.org/entity/Q511031	en	Norsk Hydro	nb	Norsk Hydro ASA	http://www.wikidata.org/.well-known/genid/e311859c6de09d68029f08452552adfe	
153	http://www.wikidata.org/entity/Q483971	en	Stone Music Entertainment	ko	주식회사 스톤뮤직엔터테인먼트	1994-06-29T00:00:00Z	2021-03-31T00:00:00Z
154	http://www.wikidata.org/entity/Q483971	en	Stone Music Entertainment	en	Stone Music Entertainment Inc.	1994-06-29T00:00:00Z	2021-03-31T00:00:00Z
155	http://www.wikidata.org/entity/Q571464	en	Trust	nl	Trust International B.V.	2003-01-01T00:00:00Z	
156	http://www.wikidata.org/entity/Q571464	en	Trust	nl	Aashima Technology B.V.	1983-01-01T00:00:00Z	2003-01-01T00:00:00Z
157	http://www.wikidata.org/entity/Q534903	en	Marimekko	fi	Marimekko Oy	1951-05-25T00:00:00Z	1999-02-16T00:00:00Z
158	http://www.wikidata.org/entity/Q534903	en	Marimekko	fi	Marimekko Oyj	1999-02-17T00:00:00Z	
159	http://www.wikidata.org/entity/Q534903	en	Marimekko	en	Marimekko Corporation	1999-02-17T00:00:00Z	
160	http://www.wikidata.org/entity/Q499342	en	FASTWEB	it	FastWeb S.p.A.	1999-01-01T00:00:00Z	2004-01-01T00:00:00Z
161	http://www.wikidata.org/entity/Q726572	en	Tessellis	it	Tiscali S.p.A.	1998-01-01T00:00:00Z	2023-01-01T00:00:00Z
162	http://www.wikidata.org/entity/Q726572	en	Tessellis	it	Tessellis S.p.A.	2023-01-01T00:00:00Z	
163	http://www.wikidata.org/entity/Q734663	en	TV Tokyo	ja	株式会社テレビ東京	1981-10-01T00:00:00Z	
164	http://www.wikidata.org/entity/Q731938	en	AstraZeneca	en	AstraZeneca PLC	1999-01-01T00:00:00Z	
165	http://www.wikidata.org/entity/Q731938	en	AstraZeneca	en	Zeneca Group PLC	1993-02-01T00:00:00Z	1999-01-01T00:00:00Z
166	http://www.wikidata.org/entity/Q750428	en	PARC	en	Palo Alto Research Center Incorporated	2002-01-04T00:00:00Z	
167	http://www.wikidata.org/entity/Q764588	en	Tachikawa	ja	石川島飛行機製作所	1924-11-01T00:00:00Z	1936-01-01T00:00:00Z
168	http://www.wikidata.org/entity/Q764588	en	Tachikawa	en	Ishikawajima Aircraft Manufacturing Company	1924-11-01T00:00:00Z	1936-01-01T00:00:00Z
169	http://www.wikidata.org/entity/Q764588	en	Tachikawa	en	Tachikawa Aircraft Company Limited	1936-01-01T00:00:00Z	1945-01-01T00:00:00Z
170	http://www.wikidata.org/entity/Q764588	en	Tachikawa	ja	立川飛行機株式会社	1936-01-01T00:00:00Z	1945-01-01T00:00:00Z
171	http://www.wikidata.org/entity/Q733958	en	TCL Technology	en	TCL Communication Equipment Company Limited	1985-01-01T00:00:00Z	1997-01-01T00:00:00Z
172	http://www.wikidata.org/entity/Q733958	en	TCL Technology	zh-cn	TTK家电有限公司	1981-01-01T00:00:00Z	1985-01-01T00:00:00Z
173	http://www.wikidata.org/entity/Q733958	en	TCL Technology	zh-cn	TCL科技集团股份有限公司	2020-01-01T00:00:00Z	
174	http://www.wikidata.org/entity/Q733958	en	TCL Technology	zh-cn	TCL集团有限公司	1997-01-01T00:00:00Z	2020-01-01T00:00:00Z
175	http://www.wikidata.org/entity/Q733958	en	TCL Technology	en	TTK Home Appliances Company Limited	1981-01-01T00:00:00Z	1985-01-01T00:00:00Z
176	http://www.wikidata.org/entity/Q733958	en	TCL Technology	en	TCL Group Corporation Limited	1997-01-01T00:00:00Z	2020-01-01T00:00:00Z
177	http://www.wikidata.org/entity/Q733958	en	TCL Technology	en	TCL Technology Group Corporation Limited	2020-01-01T00:00:00Z	
178	http://www.wikidata.org/entity/Q733958	en	TCL Technology	zh-cn	TCL通讯器材有限公司	1985-01-01T00:00:00Z	1997-01-01T00:00:00Z
179	http://www.wikidata.org/entity/Q747265	en	Stora Enso	fi	Stora Enso Oyj	1998-12-23T00:00:00Z	
180	http://www.wikidata.org/entity/Q747265	en	Stora Enso	fi	Enso Oyj	1997-11-14T00:00:00Z	1998-12-22T00:00:00Z
181	http://www.wikidata.org/entity/Q753521	en	Kate Spade & Company	en	Liz Claiborne Inc.	1976-01-01T00:00:00Z	2012-05-15T00:00:00Z
182	http://www.wikidata.org/entity/Q753521	en	Kate Spade & Company	en	Kate Spade & Company	2014-02-25T00:00:00Z	
183	http://www.wikidata.org/entity/Q753521	en	Kate Spade & Company	en	Fifth & Pacific, Inc.	2012-05-15T00:00:00Z	2014-02-25T00:00:00Z
184	http://www.wikidata.org/entity/Q772813	en	Univar Solutions	en	VWR United Company	1966-01-01T00:00:00Z	1974-01-01T00:00:00Z
185	http://www.wikidata.org/entity/Q772813	en	Univar Solutions	en	Univar Solutions Inc.	2019-03-01T00:00:00Z	
